PMID,extracted_sentence,Label
37332045,"Therefore,        this study highlights the functional importance of <piRNA>piRNA</piRNA>-related ubiquitination        in <disease>RCC</disease> and demonstrates the development of a related nanotherapeutic system,        possibly contributing to the development of therapeutic approaches for RCC.",positive
37332045,"Therefore,        this study highlights the functional importance of <piRNA>piRNA</piRNA>-related ubiquitination        in RCC and demonstrates the development of a related nanotherapeutic system,        possibly contributing to the development of therapeutic approaches for <disease>RCC</disease>.",positive
34998210,"Recently, several studies suggested the use of <piRNA>piRNAs</piRNA> as potential<disease> cancer disease </disease>         biomarkers associated with the progression and chemoresistance of GI cancer disease  .",positive
34998210,"Recently, several studies suggested the use of <piRNA>piRNAs</piRNA> as potential  cancer disease       biomarkers associated with the progression and chemoresistance of  <disease> GI cancer disease </disease> .",positive
34998210,"Hence, this review article aims to focus on the role of <piRNA>piRNAs</piRNA> in  <disease> GI cancer disease </disease>        progression, metastasis, and their molecular mechanisms as therapeutic markers        for GI cancer disease patients.",positive
34998210,"Hence, this review article aims to focus on the role of <piRNA>piRNAs</piRNA> in GI  cancer disease progression, metastasis, and their molecular mechanisms as therapeutic markers        for  <disease>GI cancer disease </disease>  patients.",positive
34533602,"In this review, we discuss current findings        of <piRNA>piRNA</piRNA> pathway expression in cardiac cell types and their potential functions        in cardiac differentiation, repair and regeneration, thus providing new insights        into  <disease>cardiovascular disease</disease> development associated with the  piRNA  pathway.",positive
36104626,"In this Review, we discuss the most recent        advances in our understanding of <piRNA>piRNA</piRNA> biogenesis, the molecular mechanisms of   piRNA  function and the emerging roles of  piRNAs  in germ line development mainly        in flies and mice, and in infertility, <disease> cancer disease </disease> and neurological diseases in        humans.",positive
36104626,"In this Review, we discuss the most recent        advances in our understanding of  piRNA  biogenesis, the molecular mechanisms of        <piRNA>piRNA</piRNA> function and the emerging roles of  piRNAs  in germ line development mainly        in flies and mice, and in infertility, cancer disease  and <disease> neurological diseases </disease> in        humans.",positive
36104626,"In this Review, we discuss the most recent        advances in our understanding of  piRNA biogenesis, the molecular mechanisms of        <piRNA>piRNA</piRNA> function and the emerging roles of  piRNAs  in germ line development mainly        in flies and mice, and in infertility, <disease> cancer disease </disease> and neurological diseases in        humans.",positive
36104626,"In this Review, we discuss the most recent        advances in our understanding of <piRNA>piRNA</piRNA> biogenesis, the molecular mechanisms of         piRNA  function and the emerging roles of  piRNAs in germ line development mainly        in flies and mice, and in infertility,   cancer disease   and <disease> neurological diseases </disease> in        humans.",positive
36104626,"In this Review, we discuss the most recent        advances in our understanding of  piRNA  biogenesis, the molecular mechanisms of         piRNA function and the emerging roles of <piRNA>piRNAs</piRNA> in germ line development mainly        in flies and mice, and in infertility, <disease> cancer disease</disease> and  neurological diseases  in        humans.",positive
36104626,"In this Review, we discuss the most recent        advances in our understanding of  piRNA  biogenesis, the molecular mechanisms of         piRNA function and the emerging roles of <piRNA>piRNAs</piRNA> in germ line development mainly        in flies and mice, and in infertility, cancer disease and <disease> neurological diseases </disease> in        humans.",positive
39087079,"There is an emerging        strong body of evidence in support of a role for ncRNAs, including <piRNA>piRNAs</piRNA>, in        pathogenesis and prognosis of <disease>CVD</disease>.",positive
39087079,"This article reviews the current evidence for        <piRNA>piRNA</piRNA>-regulated mechanisms in <disease>CVD</disease>, which could lead to the development of new        therapeutic strategies for prevention and treatment.",positive
35637965,"Furthermore, we discussed the potential        clinical applications of <piRNA>piRNAs</piRNA> as a new type promising biomarkers for <disease> cancer disease </disease>         diagnosis.",positive
25667429,"This review addresses the advances on   piRNAs and <piRNA>piRNA</piRNA> biogenesis-associated genes, with a particular focus on the        Moloney leukemia  virus 10-like 1 (MOV10L1) gene, whose role in primary piRNA processing and in the 'ping-pong' cycle during secondary  piRNA  processing has        been illustrated.",Negative
25667429,"This review addresses the advances on        <piRNA>piRNAs</piRNA> and  piRNA biogenesis-associated genes, with a particular focus on the        Moloney leukemia  virus 10-like 1 (MOV10L1) gene, whose role in primary  piRNA       processing and in the 'ping-pong' cycle during secondary  piRNA processing has        been illustrated.",Negative
25667429,"This review addresses the advances on      piRNAs  and  piRNA  biogenesis-associated genes, with a particular focus on the        Moloney leukemia  virus 10-like 1 (MOV10L1) gene, whose role in primary <piRNA>piRNA</piRNA>        processing and in the 'ping-pong' cycle during secondary  piRNA  processing has        been illustrated.",Negative
25667429,"This review addresses the advances on       piRNAs and  piRNA  biogenesis-associated genes, with a particular focus on the        Moloney leukemia  virus 10-like 1 (MOV10L1) gene, whose role in primary piRNA   processing and in the 'ping-pong' cycle during secondary <piRNA>piRNA</piRNA> processing has        been illustrated.",Negative
36879083,Evidences        indicate that <piRNA>piRNA-18</piRNA> are closely involved and contributed to tumorigenesis and        <disease> cancer disease </disease>  progression.,positive
36879083,"Therefore, it is very necessary to investigate the effects of        <piRNA>piRNA-18</piRNA> on the proliferation, migration, and invasiveness of  <disease>colorectal cancer disease </disease>         cells, so as to provide theoretical basis for finding new biomarkers and accurate        diagnosis and treatment of colorectal cancer disease .",positive
36879083,"Therefore, it is very necessary to investigate the effects of        <piRNA>piRNA-18</piRNA> on the proliferation, migration, and invasiveness of   colorectal cancer disease     cells, so as to provide theoretical basis for finding new biomarkers and accurate        diagnosis and treatment of <disease>colorectal cancer disease </disease> .",positive
36879083,"Here, Five pairs of colorectal cancer disease  tissue samples and their corresponding adjacent samples were analyzed by        real-time immunofluorescence quantitative PCR and the difference in <piRNA>piRNA-18</piRNA>        expression among <disease>colorectal cancer disease </disease>  cell lines was further verified.",positive
36879083,<piRNA>piRNA-18</piRNA> was lowlier expressed than adjacent tissues and normal intestinal        mucosal epithelial cells in <disease>colorectal cancer disease </disease> and  colorectal cancer disease cell line.,positive
36879083,<piRNA>piRNA-18</piRNA> was lowlier expressed than adjacent tissues and normal intestinal        mucosal epithelial cells in  colorectal cancer disease and <disease>colorectal cancer disease </disease> cell line.,positive
36879083,Our findings        highlighted that <piRNA>piRNA-18</piRNA> may play an inhibitory role in <disease>colorectal cancer disease </disease>.,positive
38833149,"Recent studies have        confirmed that <piRNA>piRNAs</piRNA> are abnormally expressed in some <disease> viral infections </disease>, effecting  disease progression and viral replication.",positive
38833149,"In this        study, we reviewed the association between the <piRNA>piRNA</piRNA>/PIWI complex and several        human  disease -associated viruses, including human <disease> papillomavirus </disease>, human        immunodeficiency virus, human rhinovirus, severe acute respiratory syndrome        coronavirus 2, respiratory syncytial virus, and herpes simplex virus type 1.",positive
38833149,"In this        study, we reviewed the association between the <piRNA>piRNA</piRNA>/PIWI complex and several        human  disease associated viruses, including human papillomavirus, human     <disease> immunodeficiency virus </disease>, human rhinovirus, severe acute respiratory syndrome        coronavirus 2, respiratory syncytial virus, and herpes simplex virus type 1.",positive
38833149,"In this        study, we reviewed the association between the <piRNA>piRNA</piRNA>/PIWI complex and several        human  disease associated viruses, including human papillomavirus, human      immunodeficiency virus , human <disease> rhinovirus </disease>, severe acute respiratory syndrome        coronavirus 2, respiratory syncytial virus, and herpes simplex virus type 1.",positive
38833149,"In this        study, we reviewed the association between the <piRNA>piRNA</piRNA>/PIWI complex and several        human  disease associated viruses, including human papillomavirus, human     immunodeficiency virus, human rhinovirus, severe acute respiratory syndrome         <disease> coronavirus 2 </disease>, respiratory syncytial virus, and herpes simplex virus type 1.",positive
38833149,"In this        study, we reviewed the association between the <piRNA>piRNA</piRNA>/PIWI complex and several        human  disease associated viruses, including human papillomavirus, human     immunodeficiency virus, human rhinovirus, severe acute respiratory syndrome         coronavirus 2, <disease> respiratory syncytial virus </disease>, and herpes simplex virus type 1.",positive
38833149,"In this        study, we reviewed the association between the <piRNA>piRNA</piRNA>/PIWI complex and several        human  disease associated viruses, including human papillomavirus, human     immunodeficiency virus, human rhinovirus, severe acute respiratory syndrome         coronavirus 2,  respiratory syncytial virus , and <disease>herpes simplex virus type 1</disease>.",positive
37551397,"After        a brief introduction to its discovery timelines, the present narrative review        covers the biogenesis, function, and role of <piRNA>piRNAs</piRNA> in <disease> lung cancer</<disease>.",positive
36301998,"Although some computational methods have been proposed to detect <piRNA>piRNA</piRNA>-<disease>disease</disease>        associations, it is challenging for these methods to effectively capture        nonlinear and complex relationships between  piRNAs  and diseases because of the        limited training data and insufficient association representation.",Negative
36301998,"Although some computational methods have been proposed to detect <piRNA>piRNA</piRNA>-<disease>disease</disease>        associations, it is challenging for these methods to effectively capture        nonlinear and complex relationships between  <piRNA> piRNAs </piRNA> and <disease>diseases </disease> because of the        limited training data and insufficient association representation.",Negative
36301998,"RESULTS: With        the growth of <piRNA>piRNA</piRNA>-<disease>disease</disease> association data, it is possible to design a more        complex machine learning method to solve this problem.",positive
36301998,"In this study, we propose        a computational method called iPiDA-GCN for <piRNA>piRNA</piRNA>-<disease>disease</disease> association        identification based on graph convolutional networks (GCNs).",positive
36301998,"The iPiDA-GCN        predictor constructs the graphs based on <piRNA>piRNA</piRNA> sequence information, <disease>disease</disease>        semantic information and known piRNA - disease associations.",Negative
36301998,Two GCNs (Asso-GCN and        Sim-GCN) are used to extract the features of both <piRNA>piRNAs</piRNA> and <disease> diseases </disease> by        capturing the association patterns from  piRNA - disease  interaction network and two        similarity networks.,Negative
36301998,"Finally, the full connection        networks and inner production are utilized as the output module to predict        <piRNA>piRNA</piRNA>-<disease>disease</disease> association scores.",Negative
36301998,The iPiDA-GCN        predictor is able to detect new <piRNA>piRNA</piRNA>-<disease>disease</disease> associations to reveal the        potential pathogenesis at the RNA level.,positive
35015250,"Our results imply that        dysregulation of <piRNA>piRNA</piRNA>, PIWIL1, and PIWIL4 is linked to pathogenesis of <disease>ALS</disease>.",positive
35015250,"Based on these results, <piRNA>piRNAs</piRNA> and PIWI proteins are potential diagnostic        biomarkers and therapeutic targets of <disease>ALS</disease>.",positive
32227582,"However,        the roles of <piRNA>piRNAs</piRNA> in pulmonary arterial smooth muscle cell (PASMC)        proliferation and the molecular mechanism underlying the hypoxia-regulated        pathological process of  <disease>pulmonary hypertension</disease> are not well understood.",Negative
37339125,Accurately identifying potential <piRNA>piRNA</piRNA>-<disease>disease</disease> associations is of great        importance in uncovering the pathogenesis of diseases.,positive
37339125,"Recently, several        machine-learning-based methods have been proposed for <piRNA>piRNA</piRNA>-<disease>disease</disease> association        detection.",positive
37339125,"However, they are suffering from the high sparsity of <piRNA>piRNA</piRNA>-<disease>disease</disease>        association network and the Boolean representation of  piRNA - disease  associations        ignoring the confidence coefficients.",Negative
37339125,"Combined with Graph Convolutional        Networks (GCNs), a novel predictor called iPiDA-SWGCN is proposed for        <piRNA>piRNA</piRNA>-<disease>disease</disease> association prediction.",positive
37339125,There are three main contributions of        iPiDA-SWGCN: (i) Potential <piRNA>piRNA</piRNA>-<disease>disease</disease> associations are preliminarily        supplemented in the sparse  piRNA- disease  network by integrating various basic        predictors to enrich network structure information.,positive
37339125,(ii) The original Boolean        <piRNA>piRNA</piRNA>-<disease>disease</disease> associations are assigned with different relevance confidence to        learn node representations from neighbour nodes in varying degrees.,positive
37339125,"(iii) The        experimental results show that iPiDA-SWGCN achieves the best performance compared        with the other state-of-the-art methods, and can predict new <piRNA>piRNA</piRNA>-<disease>disease</disease>        associations.",positive
37226081,The identification of the potential associations        between <piRNA>piRNA</piRNA> and <disease>disease</disease> is of great significance for complex diseases.,positive
37226081,"Traditional ""wet experiment"" is time-consuming and high-priced, predicting the        <piRNA>piRNA</piRNA>-<disease>disease</disease> associations by computational methods is of great significance.",positive
37226081,"METHODS: In this paper, a method based on the embedding transformation graph        convolution network is proposed to predict the <piRNA>piRNA</piRNA>-<disease>disease</disease> associations, named        ETGPDA.",positive
37226081,"Specifically, a heterogeneous network is constructed based on the        similarity information of <piRNA>piRNA</piRNA> and <disease>disease</disease>, as well as the known  piRNA - disease associations, which is applied to extract low-dimensional embeddings of  piRNA  and   disease based on graph convolutional network with an attention mechanism.",positive
37226081,"Specifically, a heterogeneous network is constructed based on the        similarity information of piRNA  and   disease , as well as the known  piRNA - disease associations, which is applied to extract low-dimensional embeddings of <piRNA>piRNA</piRNA> and <disease>disease</disease> based on graph convolutional network with an attention mechanism.",positive
37226081,"Finally, the  piRNA - disease association score is calculated        by the similarity of the <piRNA>piRNA</piRNA> and <disease>disease</disease> embedding.",Negative
37226081,"CONCLUSIONS: Hence, the ETGPDA is an effective        method for predicting the hidden <piRNA>piRNA</piRNA>-<disease>disease</disease> associations.",positive
38962952,The existing knowledge regarding the association of PIWI-interacting        RNAs (<piRNA>piRNAs</piRNA>) and their genetic variants on risk and progression of         <disease>prostate cancer </disease> (PCa) is limited.,positive
38962952,"A specific genetic variant, rs17201241 is identified,        associated with increased expression of PROPER (<piRNA>piRNA</piRNA> overexpressed in          <disease>prostate cancer </disease>) in tumors and are located within the gene, conferring an increased risk        and malignant progression of PCa.",positive
30371818,0 also contained the potential        information of <piRNA>piRNA</piRNA> targets and <disease>disease</disease> related  piRNA .,positive
32848063,"Surprisingly, few bona fide <piRNA>piRNAs</piRNA> exist in        <disease>gastric  cancer</disease> cells.",positive
32848063,"Altogether,        our findings reveal a <piRNA>piRNA</piRNA>-independent function of PIWIL1 in promoting <disease>gastric  cancer</disease>.",positive
37431854,"As        the largest class of noncoding small RNAs, the importance of <piRNA>piRNAs</piRNA> in many        diseases, especially <disease>cancer</disease>, has been increasingly recognized.",positive
37743306,Objective: To investigate the regulatory mechanisms of  piwi-interacting RNA (<piRNA>piRNA</piRNA>) in bisphenol A (BPA)-induced <disease>prostate  cancer</disease> cell invasion and migration.,Negative
37743306,Methods:  Genome Atlas (TCGA) data was used to analyze and screen for        <piRNA>piRNAs</piRNA> with significantly increased expression in <disease>prostate  cancer</disease> tissues.,positive
37743306,Cell migration        and invasion assays were used to determine the effects of <piRNA>piRNA</piRNA> on the malignant        phenotype of  <disease>prostate  cancer</disease> cells.,positive
29690553,This study aimed to explore the profiles of both viral-derived and        host-originated <piRNA>piRNAs</piRNA> in the whole body and midgut infected with <disease> Dengue virus 2  (DENV-2) </disease> in Ae.,positive
38024581,"Abnormal expression of PIWI proteins and <piRNA>piRNAs</piRNA> has been reported in some human        cancers, with participation of some PIWI/ piRNAs complexes in tumorigenesis and        association with <disease>cancer</disease> prognosis.",positive
38024581,"Abnormal expression of PIWI proteins and piRNAs  has been reported in some human        cancers, with participation of some <piRNA>piRNAs</piRNA> complexes in tumorigenesis and        association with <disease>cancer</disease> prognosis.",positive
30701019,"While the aberrant expression of PIWI proteins has been linked with poor outcomes        for many cancers, less is known about the expression or function of <piRNA>piRNAs</piRNA> in        <disease>cancer</disease>.",Negative
36764170,<piRNA>piR-823</piRNA> is a newly discovered <disease> colorectal  cancer</disease> marker with high diagnostic        efficacy.,positive
36764170,"In addition, <piRNA>piR-823</piRNA> can be used as an effective supplement to        carcinoembryonic antigen (CEA) in clinical diagnosis of <disease> colorectal  cancer</disease> .",positive
32346447,"Furthermore, <piRNA>piRNAs</piRNA> were enriched in <disease>cancer disease</disease>', 'Hippo        signaling', 'Wnt signaling' and 'Mitogen-activated protein kinase signaling'        pathways.",positive
34212832,"In this        review, we summarised the potential gene molecular role of <piRNA>piRNAs</piRNA> in regulating        neurobiology and serving as novel biomarkers and therapeutic targets for        life-threatening <disease>disease</disease>.",positive
31267133,"It has been revealed that <piRNA>piRNAs</piRNA> have strong association with        a wide range of diseases; thus, it becomes very important to understand  piRNAs         role(s) in <disease>disease</disease> diagnosis, prognosis and assessment of treatment response.",positive
31267133,"It has been revealed that piRNA  have strong association with        a wide range of diseases; thus, it becomes very important to understand  <piRNA>piRNAs</piRNA> role(s) in <disease>disease</disease> diagnosis, prognosis and assessment of treatment response.",positive
31267133,"We        searched more than 2500 articles using keywords, such as `<piRNA>PIWI-interacting RNAs</piRNA>'   , and further scrutinized the articles to collect  piRNAs -<disease>disease</disease>        association data.",Negative
31267133,"piRDisease        facilitates users by providing detailed information of the <piRNA>piRNA</piRNA> in respective        <disease>disease</disease>, explored by experimental support, brief description, sequence and        location information.",Negative
38031146,"Presently,        research on <piRNA>piRNAs</piRNA> mainly focuses on their <disease>cancer disease</disease> specific functions but lacks        investigation of their expressions and epigenetic modifications.",Negative
37076042,"However, the functions and        potential mechanisms of action of <piRNA>piRNAs</piRNA> in <disease>cancer disease</disease> have not yet been elucidated.",Negative
37076042,"This review summarises the current findings on the biogenesis, function, and        mechanisms of <piRNA>piRNAs</piRNA> and PIWI proteins in <disease>cancer disease</disease>.",positive
37076042,We also discuss the clinical        significance of <piRNA>piRNAs</piRNA> as diagnostic or prognostic biomarkers and therapeutic        tools for <disease>cancer disease</disease>.,positive
36254403,"To explore this, predicted mRNA targets of differentially        expressed <piRNA>piRNAs</piRNA> identified putative involvement in <disease>cancer disease</disease>-associated pathways.",positive
27474441,"This correlates with a reduction in the proliferation        of the transformed cells in culture, suggesting that, at least in this context,        the <piRNA>piRNA</piRNA> pathway may play a functional role in <disease>cancer disease</disease>.",positive
38581419, (<piRNA>piRNAs</piRNA>) play a crucial role in various biological        processes and are implicated in <disease>disease</disease>.,positive
38581419,"Consequently, there is an escalating        demand for computational tools to predict <piRNA>piRNA</piRNA>-<disease>disease</disease> interactions.",Negative
38581419,"Although        there have been computational methods proposed for the detection of  piRNA - disease        associations, the problem of imbalanced and sparse dataset has brought great        challenges to capture the complex relationships between <piRNA>piRNAs</piRNA> and <disease> diseases </disease>.",Negative
38581419,"In        response to this necessity, we have developed a novel computational architecture,        denoted as PUTransGCN, which uses heterogeneous graph convolutional networks to        uncover potential <piRNA>piRNA</piRNA>-<disease>disease</disease> associations.",Negative
38581419,"The features of <piRNA>piRNAs</piRNA> and <disease> diseases </disease>were derived from three distinct biological        sources by PUTransGCN, including information on <piRNA>piRNA</piRNA> sequences, semantic terms        related to diseases and the existing network of  piRNA - disease associations.",Negative
38581419,The PUTransGCN could serve as a valuable <piRNA>piRNA</piRNA>-<disease>disease</disease> prediction tool        for upcoming studies in the biomedical field.,Negative
32204558,"Thus, several studies        suggest <piRNA>piRNAs</piRNA> as potential <disease>cancer disease</disease> biomarkers.",positive
32204558,"Translational studies suggest that        <piRNA>piRNAs</piRNA> may regulate key genes and pathways associated with <disease>gastric cancer disease</disease>       progression, though there is no functional annotation in piRNA databases.",positive
32204558,"Translational studies suggest that         piRNAs  may regulate key genes and pathways associated with <disease>gastric cancer disease</disease>       progression, though there is no functional annotation in <piRNA>piRNA</piRNA> databases.",positive
32204558,"The impacts of genetic variants in <piRNA>piRNA</piRNA> genes and their influence in <disease>gastric cancer disease</disease>  development remains elusive, highlighting the gap in  piRNA  regulatory mechanisms        knowledge.",Negative
36688618,"The non-coding RNAs (ncRNAs), such as microRNAs (miRNAs) and   (<piRNA>piRNAs</piRNA>), have critical functions in tumorigenesis and        <disease>cancer disease</disease> drug resistance.",positive
36688618,"Among these, BRAF was solely targeted by two <piRNA>piRNAs</piRNA> and        this was found to be co-expressed with 19 sole targets of 5 miRNAs, including        CCND1, and both were found to regulate cell proliferation in <disease>cancer disease</disease>.",positive
35667080,"In        addition, we review 33 computational models based upon function: <piRNA>piRNA</piRNA>        prediction, transposon element and mRNA-related  piRNA  prediction, cluster        prediction, signature detection, target prediction and <disease>disease</disease> association.",Negative
35667080,"In        addition, we review 33 computational models based upon function:   piRNA      prediction, transposon element and mRNA-related  <piRNA>piRNA</piRNA>  prediction, cluster        prediction, signature detection, target prediction and <disease>disease</disease> association.",Negative
35667080, a few specific <piRNA>piRNAs</piRNA> that appear to be associated with these <disease>cancer disease</disease>.,positive
35667080,"This        briefing presents the most recent and comprehensive mapping of <piRNA>piRNA</piRNA>        bioinformatics resources including databases, models and tools for <disease> cancer disease</disease>        associations to date.",positive
34291132,"Also, <piRNA>piRNAs</piRNA> play important roles in <disease>cancer disease</disease> stemness, drug        resistance, and tumor immunology.",positive
34291132,Results from liquid biopsy analysis of <piRNA>piRNA</piRNA>        can be used in both <disease>cancer disease</disease> diagnoses and cancer disease prognoses.,positive
34291132,Results from liquid biopsy analysis of <piRNA>piRNA</piRNA>        can be used in both cancer disease diagnoses and <disease>cancer disease</disease> prognoses.,positive
34291132,A combination of        targeting <piRNA>piRNA</piRNA> with other therapeutic strategies could be groundbreaking <disease>cancer disease</disease>        treatment.,positive
32827685,"Numerous studies have suggested that   (<piRNA>piRNAs</piRNA>), a new type of non-coding RNA (ncRNA), are closely        related to the occurrence and development of <disease>cancer disease</disease>.",positive
37743227,"CONCLUSIONS: These results show dysregulation of both muscle microRNAs and <piRNA>piRNAs</piRNA>        in <disease>cancer disease</disease> patients compared with controls, the former following a sex-specific        pattern.",positive
38198029,"Recent studies have found that <piRNA>piRNAs</piRNA>, as tissue-specific molecules,        both play oncogenic and tumor suppressive roles in <disease>cancer disease</disease> progression, including        cancer disease  cell proliferation, metastasis, chemoresistance and stemness.",positive
38198029,"Recent studies have found that <piRNA>piRNAs</piRNA>, as tissue-specific molecules,        both play oncogenic and tumor suppressive roles in  cancer disease progression, including        <disease> cancer disease </disease> cell proliferation, metastasis, chemoresistance and stemness.",positive
38198029,"Nonetheless, the precise functions of <piRNA>piRNAs</piRNA> in <disease>cancer disease</disease> progression and their        underlying mechanisms have yet to be fully comprehended.",Negative
38198029,"This review aims to        examine current research on the biogenesis and functions of <piRNA>piRNA</piRNA> and its        burgeoning importance in <disease>cancer disease</disease> progression, thereby offering novel perspectives        on the potential utilization of  piRNAs and piwi proteins in the management and        treatment of advanced cancer disease .",positive
38198029,"This review aims to        examine current research on the biogenesis and functions of  piRNA and its        burgeoning importance in  cancer disease progression, thereby offering novel perspectives        on the potential utilization of <piRNA>piRNAs</piRNA> and piwi proteins in the management and        treatment of advanced <disease>cancer disease</disease>.",positive
26768585, (<piRNA>piRNAs</piRNA>) are emerging players in <disease>cancer disease</disease> genomics.,positive
31546882,"Finally, the last part addresses how genomes are        facing production of new <piRNA>piRNAs</piRNA>, and from a broader perspective, how this process        might have consequences on evolution and on sporadic <disease>disease</disease> development.",positive
37077942,P-element-induced wimpy        testis (PIWI)-interacting RNAs (<piRNA>piRNAs</piRNA>) are novel small silencing RNAs that have        been identified to function in <disease>cancer disease</disease>-related signalling pathways.,positive
36733811,"More and more studies have        shown that <piRNA>piRNAs</piRNA> are abnormally expressed in a variety of <disease>cancer disease</disease> tissues and        patient fluids, and may become diagnostic tools, therapeutic targets, staging        markers, and prognostic evaluation tools for  cancer disease .",positive
36733811,"More and more studies have        shown that <piRNA>piRNAs</piRNA> are abnormally expressed in a variety of  cancer disease  tissues and        patient fluids, and may become diagnostic tools, therapeutic targets, staging        markers, and prognostic evaluation tools for <disease> cancer disease </disease>.",positive
34965192,", the novel features of this version includes (i) density        based cluster prediction, (ii) <piRNA>piRNA</piRNA> expression profile across various healthy        and <disease>disease</disease> systems and (iii) piRNA  target prediction.",Negative
34965192,The <piRNA>piRNA</piRNA> expression profile for 21 <disease>disease</disease>        systems including  cancer disease have been hosted in addition to 32 tissue specific  piRNA         expression profile for various species.,positive
34965192,The <piRNA>piRNA</piRNA> expression profile for 21  disease systems including  <disease> cancer disease </disease> have been hosted in addition to 32 tissue specific  piRNA         expression profile for various species.,positive
34965192,"Further, the <piRNA>piRNA</piRNA> target prediction        section includes both predicted and curated  piRNA  targets within eight <disease>disease</disease>        systems and developmental stages of mouse testis.",Negative
34965192,"Further, the  piRNA  target prediction        section includes both predicted and curated <piRNA> piRNA  </piRNA>targets within eight <disease>disease</disease>        systems and developmental stages of mouse testis.",Negative
35612777,"METHODS: We search online academic data bases        including (Google Scholar, Web of Science and Pub Med), the relevant literature        was extracted from the databases by using search terms of <piRNA>piRNAs</piRNA> and <disease>breast cancer </disease>  as free-text words and also with the combination with OR /AND by may        2022.",Negative
35612777,"RESULTS: Recently, with the help of next-generation sequencing abnormal        <piRNA>piRNA</piRNA> expression has been observed to associate with the occurrence and        development of human cancers, such as <disease>breast cancer </disease>  (BC).",positive
35612777,Recent investigation        proposing <piRNA>piRNA</piRNA> as a prognostic and diagnostic biomarker based on their        <disease>cancer disease</disease>-related interaction in the treatment of BC.,positive
35612777,"CONCLUSION: This review aims        to focus on the role of <piRNA>piRNAs</piRNA> in the initiation, progression, and the occurrence        of <disease>breast cancer</disease> in order to understand its function and provide a better        therapeutic strategy.",positive
34723746,The <piRNA>piRNA</piRNA> pathway is shown by the existing evidence as an active        pathway in a variety of different types of cancers with critical impacts on main        aspects of <disease>cancer disease</disease> progression.,positive
34723746,"Therefore, the identification of <disease>cancer disease</disease>-related <piRNA>piRNAs</piRNA> and the assessment of        target genes of  piRNAs  may lead to better  cancer disease  prevention and therapy        strategies.",positive
34723746,"Therefore, the identification of  cancer disease -related  piRNAs and the assessment of        target genes of <piRNA>piRNAs</piRNA> may lead to better <disease>cancer disease</disease> prevention and therapy        strategies.",positive
34723746,"Understanding the role of <piRNA>piRNA</piRNA> in <disease>cancer disease</disease> may provide        perspectives on their applications as particular biomarker signature in diagnosis        in early stage, prognosis and therapeutic strategies.",positive
